Time,mq2_ppm,mq4_ppm
00:00:00,3,6
00:10:00,4,9
00:20:00,5,10
00:30:00,6,10
00:40:00,9,17
00:50:00,11,25
01:00:00,12,32
01:10:00,14,40
01:20:00,14,46
01:30:00,15,54
01:40:00,16,62
01:50:00,16,68
02:00:00,16,73
02:10:00,16,79
02:20:00,16,85
02:30:00,16,90
02:40:00,16,96
02:50:00,16,99
03:00:00,16,104
03:10:00,16,107
03:20:00,16,111
03:30:00,16,114
03:40:00,15,115
03:50:00,15,118
04:00:00,15,119
04:10:00,15,122
04:20:00,15,125
04:30:00,15,128
04:40:00,15,130
04:50:00,14,131
05:00:00,14,140
05:10:00,14,142
05:20:00,14,145
05:30:00,14,145
05:40:00,14,147
05:50:00,14,149
06:00:00,14,149
06:10:00,14,151
06:20:00,14,151
06:30:00,13,152
06:40:00,13,152
06:50:00,13,152
07:00:00,13,152
07:10:00,13,154
07:20:00,13,154
07:30:00,13,154
07:40:00,13,154
07:50:00,13,154
08:00:00,13,154
08:10:00,12,154
08:20:00,12,156
08:30:00,12,156
08:40:00,12,154
08:50:00,12,156
09:00:00,12,156
09:10:00,12,156
09:20:00,12,156
09:30:00,12,154
09:40:00,12,156
09:50:00,12,156
10:00:00,12,156
10:10:00,12,156
10:20:00,11,156
10:30:00,11,156
10:40:00,11,156
10:50:00,11,156
11:00:00,11,156
11:10:00,11,156
11:20:00,11,156
11:30:00,11,154
11:40:00,11,156
11:50:00,11,156
12:00:00,11,156
12:10:00,11,156
12:20:00,11,156
12:30:00,11,156
12:40:00,10,156
12:50:00,10,156
13:00:00,10,156
13:10:00,10,156
13:20:00,10,156
13:30:00,10,156
13:40:00,10,156
13:50:00,10,158
14:00:00,10,158
14:10:00,10,158
14:20:00,10,158
14:30:00,10,158
14:40:00,10,158
14:50:00,10,158
15:00:00,10,158
15:10:00,10,160
15:20:00,10,160
15:30:00,10,160
15:40:00,10,160
15:50:00,9,158
16:00:00,9,161
16:10:00,9,160
16:20:00,9,160
16:30:00,9,161
16:40:00,9,161
16:50:00,9,161
17:00:00,9,160
17:10:00,9,160
17:20:00,9,160
17:30:00,9,160
17:40:00,9,160
17:50:00,9,160
18:00:00,9,161
18:10:00,9,161
18:20:00,9,161
18:30:00,9,161
18:40:00,9,163
18:50:00,9,163
19:00:00,9,163
19:10:00,9,165
19:20:00,9,165
19:30:00,9,165
19:40:00,9,165
19:50:00,9,165
20:00:00,9,165
20:10:00,9,165
20:20:00,8,165
20:30:00,8,165
20:40:00,8,167
20:50:00,8,169
21:00:00,8,171
21:10:00,8,171
21:20:00,8,171
21:30:00,8,173
21:40:00,8,173
21:50:00,8,173
22:00:00,8,175
22:10:00,8,175
22:20:00,8,175
22:30:00,8,177
22:40:00,8,177
22:50:00,8,179
23:00:00,8,181
23:10:00,8,181
23:20:00,8,183
23:30:00,8,183
23:40:00,8,185
23:50:00,8,188
00:00:00,8,188
00:10:00,8,190
00:20:00,8,190
00:30:00,8,192
00:40:00,8,192
00:50:00,8,194
01:00:00,8,194
01:10:00,8,196
01:20:00,8,196
01:30:00,8,199
01:40:00,8,199
01:50:00,8,201
02:00:00,8,201
02:10:00,8,203
02:20:00,8,203
02:30:00,8,206
02:40:00,8,206
02:50:00,8,208
03:00:00,8,208
03:10:00,8,208
03:20:00,8,211
03:30:00,8,211
03:40:00,8,213
03:50:00,8,211
04:00:00,8,211
04:10:00,8,211
04:20:00,8,211
04:30:00,8,213
04:40:00,8,213
04:50:00,8,213
05:00:00,8,213
05:10:00,8,215
05:20:00,8,215
05:30:00,8,218
05:40:00,8,218
05:50:00,8,220
06:00:00,8,223
06:10:00,8,223
06:20:00,8,226
06:30:00,8,226
06:40:00,8,228
06:50:00,8,231
07:00:00,8,231
07:10:00,8,234
07:20:00,8,234
07:30:00,8,236
07:40:00,8,236
07:50:00,8,239
08:00:00,8,239
08:10:00,8,242
08:20:00,8,242
08:30:00,8,245
08:40:00,8,245
08:50:00,8,247
09:00:00,8,247
09:10:00,8,250
09:20:00,8,250
09:30:00,8,253
09:40:00,8,259
09:50:00,8,265
10:00:00,8,265
10:10:00,8,268
10:20:00,8,271
10:30:00,8,271
10:40:00,8,271
10:50:00,8,275
11:00:00,8,275
11:10:00,7,278
11:20:00,7,275
11:30:00,7,275
11:40:00,7,278
11:50:00,7,278
12:00:00,7,281
12:10:00,7,281
12:20:00,7,284
12:30:00,7,284
12:40:00,7,288
12:50:00,7,288
13:00:00,7,291
13:10:00,7,291
13:20:00,7,291
13:30:00,7,294
13:40:00,7,294
13:50:00,7,305
14:00:00,7,308
14:10:00,7,308
14:20:00,7,308
14:30:00,7,308
14:40:00,7,312
14:50:00,7,312
15:00:00,7,312
15:10:00,7,315
15:20:00,7,315
15:30:00,7,319
15:40:00,7,319
15:50:00,7,319
16:00:00,7,319
16:10:00,7,323
16:20:00,7,323
16:30:00,7,323
16:40:00,7,327
16:50:00,7,327
17:00:00,7,330
17:10:00,7,330
17:20:00,7,330
17:30:00,7,330
17:40:00,7,334
17:50:00,7,334
18:00:00,7,334
18:10:00,8,338
18:20:00,8,338
18:30:00,8,338
18:40:00,8,342
18:50:00,8,342
19:00:00,8,342
19:10:00,8,346
19:20:00,8,346
19:30:00,8,346
19:40:00,8,350
19:50:00,8,350
20:00:00,8,350
20:10:00,8,354
20:20:00,8,354
20:30:00,8,354
20:40:00,8,354
20:50:00,8,358
21:00:00,8,358
21:10:00,8,363
21:20:00,8,363
21:30:00,8,363
21:40:00,8,367
21:50:00,8,367
22:00:00,8,367
22:10:00,8,371
22:20:00,8,371
22:30:00,8,371
22:40:00,8,375
22:50:00,8,375
23:00:00,8,375
23:10:00,8,380
23:20:00,8,380
23:30:00,8,384
23:40:00,8,380
23:50:00,8,375
00:00:00,8,375
00:10:00,8,375
00:20:00,8,380
00:30:00,8,389
00:40:00,8,389
00:50:00,8,393
01:00:00,8,403
01:10:00,8,403
01:20:00,8,407
01:30:00,8,407
01:40:00,8,407
01:50:00,8,412
02:00:00,8,412
02:10:00,8,417
02:20:00,8,417
02:30:00,8,417
02:40:00,8,422
02:50:00,8,422
03:00:00,8,422
03:10:00,8,427
03:20:00,8,427
03:30:00,8,427
03:40:00,8,432
03:50:00,8,432
04:00:00,8,432
04:10:00,8,437
04:20:00,8,437
04:30:00,8,427
04:40:00,8,427
04:50:00,8,432
05:00:00,8,432
05:10:00,8,437
05:20:00,8,437
05:30:00,8,437
05:40:00,8,442
05:50:00,8,442
06:00:00,8,442
06:10:00,8,447
06:20:00,8,447
06:30:00,8,447
06:40:00,8,452
06:50:00,8,452
07:00:00,8,458
07:10:00,8,458
07:20:00,8,463
07:30:00,8,463
07:40:00,8,463
07:50:00,8,463
08:00:00,8,469
08:10:00,8,469
08:20:00,8,469
08:30:00,8,474
08:40:00,8,474
08:50:00,8,480
09:00:00,8,480
09:10:00,8,485
09:20:00,8,485
09:30:00,8,485
09:40:00,8,485
09:50:00,8,491
10:00:00,8,491
10:10:00,8,497
10:20:00,8,497
10:30:00,8,503
10:40:00,8,503
10:50:00,8,503
11:00:00,8,509
11:10:00,8,509
11:20:00,8,515
11:30:00,8,515
11:40:00,8,515
11:50:00,8,521
12:00:00,8,521
12:10:00,8,527
12:20:00,8,527
12:30:00,8,527
12:40:00,8,527
12:50:00,8,533
13:00:00,8,533
13:10:00,8,540
13:20:00,8,540
13:30:00,8,546
13:40:00,8,546
13:50:00,8,546
14:00:00,8,553
14:10:00,9,553
14:20:00,9,559
14:30:00,9,559
14:40:00,9,559
14:50:00,9,566
15:00:00,9,566
15:10:00,9,566
15:20:00,9,559
15:30:00,9,566
15:40:00,9,573
15:50:00,9,566
16:00:00,9,566
16:10:00,9,573
16:20:00,9,573
16:30:00,9,579
16:40:00,9,579
16:50:00,9,586
17:00:00,9,586
17:10:00,9,593
17:20:00,9,593
17:30:00,9,600
17:40:00,9,600
17:50:00,9,608
18:00:00,9,608
18:10:00,9,608
18:20:00,9,615
18:30:00,9,622
18:40:00,9,622
18:50:00,9,622
19:00:00,9,630
19:10:00,9,630
19:20:00,9,630
19:30:00,9,637
19:40:00,9,637
19:50:00,9,637
20:00:00,9,637
20:10:00,9,637
20:20:00,9,645
20:30:00,9,645
20:40:00,9,653
20:50:00,9,653
21:00:00,9,710
21:10:00,9,701
21:20:00,9,701
21:30:00,9,701
21:40:00,9,701
21:50:00,9,701
22:00:00,9,693
22:10:00,9,701
22:20:00,9,701
22:30:00,9,693
22:40:00,9,693
22:50:00,9,693
23:00:00,9,701
23:10:00,9,710
23:20:00,9,710
23:30:00,9,718
23:40:00,9,710
23:50:00,9,718
00:00:00,9,718
00:10:00,9,718
00:20:00,9,727
00:30:00,9,727
00:40:00,9,727
00:50:00,9,727
01:00:00,9,736
01:10:00,10,763
01:20:00,10,791
01:30:00,10,781
01:40:00,10,781
01:50:00,10,781
02:00:00,10,772
02:10:00,10,772
02:20:00,10,772
02:30:00,10,772
02:40:00,10,772
02:50:00,10,772
03:00:00,10,772
03:10:00,10,781
03:20:00,10,781
03:30:00,10,791
03:40:00,10,791
03:50:00,10,791
04:00:00,10,791
04:10:00,10,800
04:20:00,10,800
04:30:00,10,800
04:40:00,10,810
04:50:00,10,810
05:00:00,10,810
05:10:00,10,810
05:20:00,10,820
05:30:00,10,820
05:40:00,10,820
05:50:00,10,830
06:00:00,10,830
06:10:00,10,830
06:20:00,10,830
06:30:00,11,840
06:40:00,11,840
06:50:00,11,840
07:00:00,11,850
07:10:00,11,850
07:20:00,11,850
07:30:00,11,861
07:40:00,11,861
07:50:00,11,861
08:00:00,11,871
08:10:00,11,871
08:20:00,11,871
08:30:00,11,871
08:40:00,11,871
08:50:00,11,882
09:00:00,11,882
09:10:00,11,882
09:20:00,11,882
09:30:00,11,893
09:40:00,11,893
09:50:00,11,893
10:00:00,12,904
10:10:00,12,904
10:20:00,12,915
10:30:00,12,915
10:40:00,12,915
10:50:00,12,926
11:00:00,12,926
11:10:00,12,926
11:20:00,12,926
11:30:00,12,938
11:40:00,12,938
11:50:00,12,949
12:00:00,12,949
12:10:00,12,961
12:20:00,12,961
12:30:00,12,961
12:40:00,13,961
12:50:00,13,973
13:00:00,13,973
13:10:00,13,985
13:20:00,13,997
13:30:00,13,997
13:40:00,13,997
13:50:00,13,997
14:00:00,14,1009
14:10:00,14,1009
14:20:00,14,1009
14:30:00,14,1009
14:40:00,14,1022
14:50:00,14,1035
15:00:00,14,1035
15:10:00,14,1047
15:20:00,14,1009
15:30:00,14,1009
15:40:00,14,1035
15:50:00,14,1047
16:00:00,14,1060
16:10:00,15,1060
16:20:00,15,1074
16:30:00,15,1074
16:40:00,15,1074
16:50:00,15,1087
17:00:00,15,1087
17:10:00,15,1087
17:20:00,15,1087
17:30:00,15,1087
17:40:00,15,1101
17:50:00,15,1101
18:00:00,15,1101
18:10:00,15,1114
18:20:00,15,1114
18:30:00,15,1114
18:40:00,15,1143
18:50:00,15,1143
19:00:00,15,1128
19:10:00,15,1143
19:20:00,15,1157
19:30:00,15,1157
19:40:00,15,1157
19:50:00,15,1157
20:00:00,15,1157
20:10:00,15,1171
20:20:00,15,1157
20:30:00,16,1186
20:40:00,16,1157
20:50:00,16,1171
21:00:00,16,1171
21:10:00,16,1171
21:20:00,16,1186
21:30:00,16,1186
21:40:00,16,1186
21:50:00,16,1186
22:00:00,16,1186
22:10:00,16,1186
22:20:00,16,1201
22:30:00,16,1201
22:40:00,16,1201
22:50:00,16,1201
23:00:00,16,1216
23:10:00,16,1201
23:20:00,16,1201
23:30:00,16,1216
23:40:00,16,1216
23:50:00,16,1216
00:00:00,16,1232
00:10:00,16,1232
00:20:00,17,1232
00:30:00,17,1232
00:40:00,17,1232
00:50:00,17,1279
01:00:00,17,1279
01:10:00,17,1295
01:20:00,17,1295
01:30:00,17,1312
01:40:00,17,1312
01:50:00,17,1312
02:00:00,17,1312
02:10:00,17,1312
02:20:00,17,1312
02:30:00,17,1312
02:40:00,17,1312
02:50:00,17,1328
03:00:00,17,1312
03:10:00,17,1312
03:20:00,17,1328
03:30:00,17,1328
03:40:00,18,1328
03:50:00,18,1328
04:00:00,18,1345
04:10:00,18,1328
04:20:00,18,1328
04:30:00,18,1345
04:40:00,18,1345
04:50:00,18,1345
05:00:00,18,1345
05:10:00,18,1362
05:20:00,18,1362
05:30:00,18,1362
05:40:00,18,1362
05:50:00,18,1345
06:00:00,18,1362
06:10:00,18,1362
06:20:00,18,1362
06:30:00,18,1362
06:40:00,18,1362
06:50:00,19,1362
07:00:00,19,1362
07:10:00,19,1362
